word,count
art,70
coary,1
sooner,9
shall,193
cats,3
disport,1
clear,25
speckled,1
mackrel,1
graze,2
meadows,5
fair,48
forget,10
shepherds,6
wonted,2
love,112
gays,12
poasoaral,1
mackerelg,1
seems,39
cant,12
strong,49
breeze,1
suppose,16
desired,3
bring,47
muckerel,1
fresh,11
market,30
put,67
up,216
every,99
fail,12
wind,18
blew,1
maca9rel,1
gale,2
drydoan,6
macrocos,1
macrocoasoae,1
2220,1
zoao,2
whole,55
visible,6
system,5
opposition,13
ini,1
crocosm,1
mac,7
iox,1
br,10
xmlnsbr,70
xmlnspdivdiv,39
59divp,1
d,40
g,20
xe2x80x93,7
mactarion,1
smallatus,1
latinj,6
aa4,1
killing,8
sacrifice,2
ma2cul,1
sun,46
may,279
contract,9
spots,3
han,3
usual,10
means,52
darker,2
spot,6
lastly,3
burnets,12
theory,13
maculae,1
t,68
skin,15
whether,43
fivers,1
scorbutiek,1
habits,4
maculo,1
stain,4
macula,1
te,5
maculate,1
taint,2
lation,1
macoa,1
will,350
throw,8
glove,4
himself,94
shakespeare,408
theres,6
maculation,1
heart,69
mascule,1
smauloa,1
ad,9
3emaad,1
mattoa,1
oaf,37
broken,19
understanding,15
tracted,1
alack,2
sir,19
mad,32
xe2x80x94oaris,1
times,39
madmen,5
lead,29
blind,10
poets,18
sung,8
mother,60
sea,54
sprung,3
yoaung,1
denham,20
st,14
bind,7
our,284
passions,15
chains,5
lest,7
madfolks,2
mu,8
locks,5
bolts,1
do,165
taylors,11
iworthy,1
communicant,2
call,47
bear,35
enragd,1
stinging,2
bee,3
ran,5
beegarden,1
overturnxe2x80x99d,1
hives,2
lxe2x80x99estrange,18
ought,30
help,19
frenzy,1
span,2
fryar,12
overrun,2
violent,10
unreasonable,2
desire,24
after,92
perhaps,29
betterfor,1
object,21
land,56
graven,1
images,4
upoan,3
idols,2
jer,3
38,6
running,9
farce,1
extremity,6
bad,20
rather,48
judgment,15
fallen,5
dra,3
matick,1
writing,15
pref,1
cleomenes,2
people,44
acorns,2
could,116
content,12
eat,19
bread,18
civil,16
rymer,2
enraged,1
furious,9
hos,2
writ,12
represents,2
paul,3
havock,2
church,44
persecuting,1
way,89
unto,82
being,196
exceedingly,4
against,99
decay,19
piety,27
map,11
va,15
adjective,8
enrage,2
villain,4
cried,2
zelmane,3
madded,2
finding,7
unlookedfor,1
rival,3
sidney,82
b,281
had,231
seen,27
picture,7
plight,4
me,296
titus,3
andronicus,3
witness,10
outwardly,2
strongly,5
conscience,16
dos,2
within,47
thxe2x80x99,32
madding,3
lord,49
cymbeline,17
mads,3
let,101
though,106
helpd,3
wits,8
wisemen,1
ignoble,4
hands,39
overlaid,1
couxe2x80x99d,3
conquer,3
n,243
wheels,4
brazen,4
chariots,4
ragd,2
noise,9
conflict,2
miltons,74
loff,1
vi,45
she,166
mixing,3
throng,4
matrons,4
bears,8
bride,4
along,13
ains,64
masu,2
worm,6
mabam,1
sma,1
dame,8
term,21
compliment,2
used,95
address,3
ladies,8
degree,45
certes,1
madam,4
cause,56
plaint,1
spensoar,14
look,45
move,43
philipss,1
disxc5x82roaft,1
madbrain,2
brain,14
disordered,5
soa,37
mind,123
hotheaded,1
give,100
hand,61
opposd,3
rudesby,1
spleen,7
fall,44
book,25
sloopd,1
again,49
take,75
madbrainxe2x80x99d,1
bridegroom,2
took,36
cuff,1
down,93
fell,21
priest,7
tempest,9
cease,9
rage,25
until,9
golden,11
circuit,2
head,70
glorious,10
suns,3
transparent,3
beams,5
calm,4
fury,12
madhraind,1
flaw,1
mabcap,1
smdd,1
cap,6
taking,9
top,23
allading,1
caps,1
distracted,3
distinction,4
madman,3
wild,22
hotbrained,1
last,37
biron,1
merry,40
madcap,2
jeft,1
son,39
nimblefooted,1
prince,36
wales,1
comrades,1
daft,1
aside,8
bid,12
pass,35
hemry,1
iv,56
become,29
ast,1
mapden,1
inad,1
24,5
ub,1
dogstar,2
rages,2
nay,5
past,22
doubt,16
bedlam,1
parnassus,2
fire,46
each,59
eye,49
papers,3
rave,1
recite,3
joain,1
round,56
maoapen,1
madning,1
draughts,2
beauty,17
while,53
overwhelmd,1
raptur,1
smasene,1
loa,6
fingle,1
leaf,26
cut,48
four,44
five,30
segments,9
expanded,5
amp,9
flowercup,8
afterwards,15
becomexe2x80x9d,1
xe2x80x9c,4
composed,15
juicy,2
berries,3
closely,3
joined,12
together,51
coantain,1
seed,26
hollowed,3
likoa,1
leaves,63
rougller,1
surround,3
stalks,2
whorles,2
xe2x80xa2,32
hat,6
xc5xbd,1
cultivated,5
vast,14
qiaoaxe2x80x99,1
hollan,1
send,8
over,66
medicinal,16
use,97
root,19
oaoa,4
dried,5
greatest,28
quant,1
oaff,3
popt,1
thought,57
thomsonoa,1
navel,1
only,138
sent,33
participle,1
preterite,6
th,37
parents,9
neither,31
mah,1
john,26
ix,12
works,19
god,155
bexe2x80x9d,1
mader,1
action,28
madoasxe2x80x9d,1
wet,13
madefoalian,1
maogry,1
owl,2
madg,1
oaw,4
moadhouse,1
nsmad,1
house,45
cured,3
confined,5
madeus,1
asked,3
came,40
why,55
says,6
abroad,10
too,89
moa,12
fo,1
fley,1
mastered,3
rober,1
here,62
k,20
furiously,1
maply,1
adv,91
wavd,1
torch,1
aloft,5
bryden,3
worship,9
servile,6
toaxe2x80x9d,1
iryaen,1
godlike,4
deprived,1
un,18
ing,54
none,24
still,70
sport,11
sparing,1
xe2x80x992,1
esil,1
xvi,11
71,1
aabt,11
red,28
imbibition,1
boaoa,1
moistan,1
sought,11
derstanding,1
hing,1
better,61
eagerly,2
pursues,1
anything,30
lxe2x80x99earange,1
zoaoa,2
kes,1
sword,26
ties,10
madmans,1
loves,19
person,39
disarms,1
soaoan,1
saaths,1
sermoans,3
distraction,1
loss,9
culties,1
woman,39
husband,20
tunes,1
agan,1
rails,1
married,12
mankind,30
curses,5
eves,1
daugh,2
ters,6
buffets,1
forehead,2
isives,1
hindsoar,1
perturbation,1
fa,22
nes,2
ever,53
yet,152
beheld,7
seemed,5
tameness,2
civility,5
disxc5x82emper,1
degrees,13
mains,3
disorderly,2
jum,1
bling,2
ideas,17
less,67
locke,100
wildness,2
power,92
goad,1
sets,7
bounds,11
raging,4
restrains,3
ring,11
6arles,1
ravd,1
despair,7
roard,1
beat,17
breast,20
tore,4
hair,17
madr1er,1
madrier,1
thick,18
plank,1
armed,5
plates,5
having,104
cavity,4
sufficient,14
receive,15
mouth,68
petard,1
charged,6
applied,9
gate,7
thing,113
braken,1
bailey,14
maxe2x80x99drigai,1
madrigal,4
written,26
anciently,7
mandriale,1
pastoral,2
song,15
amorous,2
contains,11
cer,6
tain,5
number,56
unequal,5
verses,6
tied,3
scrupulous,1
gularity,1
sonnet,4
subtilty,1
epigram,1
consists,23
single,20
rank,17
differs,4
zonet,1
several,59
strophes,1
return,11
same,104
order,39
waters,18
whose,100
falls,11
birds,19
sing,11
melodious,6
madrigails,1
artful,6
strains,3
oft,18
delayd,2
huddling,2
brook,4
tongue,37
light,69
trifling,1
comparison,1
proper,28
sonnets,1
madrigals,1
elegies,1
heroick,7
madwort,1
woart,1
herb,17
yaen,1
maere,1
derived,8
famous,7
noted,3
almere,1
athelmere,1
f,38
bility,1
gibsons,2
maffle,1
stainmer,1
1777den,1
maffler,1
verb,31
stammerer,1
magazine,5
arabi,1
mach,1
san,1
treasure,8
15,9
x,29
store,7
pdivdiv,62
60divp,1
storehouse,2
commonly,20
arsenal,1
armoury,1
reposi,1
tory,2
isions,1
gr,1
appear,37
fit,46
bestow,7
shipping,2
harbours,1
needsul,1
resel,1
sary,1
munitions,3
raleighs,16
essays,32
plain,20
magnitude,10
armories,2
magazines,5
contemns,4
agonisxc5x82,2
oer,38
publick,35
preside,2
forage,2
provide,6
useful,10
place,85
rangd,2
disposed,9
grace,28
well,125
stored,3
nothing,79
proposed,4
master,75
late,24
signified,2
miscellaneous,4
pamphlet,1
periodical,4
miscellany,2
named,8
gentlemans,2
zine,1
edward,10
cave,2
mage,1
magus,1
magician,4
sproaser,1
maggot,4
nj,6
magrod,1
welsh,15
millepeda,1
small,125
grub,1
turns,11
fly,24
sides,12
back,24
caterpillar,1
creep,5
maggots,5
sore,3
although,14
inseampt,1
flies,13
brood,4
disguise,11
garths,4
dispens,1
whimsy,1
caprice,1
odd,5
fansy,2
taffata,1
phrases,2
silken,2
terms,12
precise,2
threepild,1
hyperboles,1
spruce,1
affectation,2
figures,13
pedantical,1
these,166
summer,20
blown,5
ostentation,4
forswear,3
henceforth,1
wooing,2
exprest,2
russet,1
yeas,1
honest,10
kersy,1
noes,1
reconcile,3
dissenters,2
brethxe2x80x99ren,2
venters,1
unite,7
diffrent,3
long,98
short,25
sticks,4
faggots,2
hudibras,19
p,76
iii,52
pricked,1
touched,4
point,37
then,121
broke,8
passion,16
maogott,1
iness,1
maggotty,2
abound,6
magcotty,1
capricious,1
whimsical,1
pretend,5
work,53
neat,1
thoughts,38
unsettled,3
ridiculous,4
think,59
write,12
strait,5
jumbling,1
coach,2
norriss,5
misel,4
magical,4
magick,13
acting,8
performed,9
se,4
cret,2
invisible,5
powers,15
nature,107
spirits,29
ill,103
humbly,1
signify,7
name,74
effected,5
unveiled,1
shield,4
ariosto,1
dazzled,2
beholders,1
much,202
brightness,2
longer,14
hold,27
certain,48
attire,6
cambrick,2
attained,2
evil,16
ical,3
force,40
motion,46
eyes,65
tatler,8
no0,27
io,8
mag1cally,1
according,39
rites,9
time,157
valens,1
divers,8
curious,9
falling,9
magically,1
prepared,6
judged,4
theodorus,1
succeed,5
empire,9
camden,4
magia,1
putting,8
both,79
good,144
subject,31
gick,1
general,30
held,16
unlawful,2
sorcery,1
enchantment,1
virg,3
looft,1
noble,29
ruin,7
antony,10
claps,2
seawing,2
ant,20
cleopatra,15
charm,3
overrule,1
motives,2
rogers,7
secret,16
operations,4
natural,41
writers,11
attribute,2
virtues,21
living,17
creatures,25
did,135
infuse,2
immaterial,2
virtue,39
severed,2
bacons,139
nat,70
hisxc5x82,23
mag1ck,1
aabting,1
doing,7
superior,10
known,25
incantating,1
necromantick,1
corner,4
hangs,4
vaprous,1
drop,8
profound,3
catch,9
ere,17
distilld,2
slights,2
raise,23
artificial,4
sprights,1
strength,32
illusion,1
draw,27
confusion,9
macbeth,45
brute,3
lend,9
nerves,7
shake,15
till,70
structures,1
reard,2
high,55
shatterd,4
heaps,2
castles,3
built,8
air,87
vanish,2
approach,9
granville,15
magicia,1
magicus,1
skilled,10
enchanter,2
necromancer,1
black,35
conjures,1
fiend,2
stop,8
devoted,4
charitable,2
deeds,10
rich,32
keep,43
hesperian,1
dragon,1
potent,2
charms,5
troubled,11
souls,17
relieve,3
lists,3
makes,73
calmest,1
grieve,7
waller,10
millions,13
truths,9
concerned,5
know,57
roger,2
bacon,96
mathematician,1
xc2xa3ocke,1
mag,5
1st,4
erial,1
magister,2
suits,4
frame,16
government,25
paternal,3
magisterial,7
charles,12
bids,4
attend,12
rod,3
uses,6
instructs,1
lofty,9
arrogan,1
proud,13
insolent,3
despotick,2
opinions,4
mor,9
dictator,1
ob,9
trude,1
notions,6
browns,60
pulgar,23
errours,48
pretences,3
go,63
words,53
magislerial,1
payment,3
lestrange,11
trapanned,1
called,79
govern,12
invested,3
bereaved,1
else,35
mock,30
splendid,3
souths,58
serm,7
chemically,1
manner,71
magistery,3
corals,1
chiefly,9
powder,12
marble,23
salt,16
purpose,26
fe,6
vers,2
tincture,3
maqi,1
sterial,1
grews,18
museum,3
masist,1
erially,1
arrogantly,2
downright,1
advice,17
mistaken,11
spoken,7
magisterially,3
bacoanxe2x80x99s,2
iiers,1
pots,2
pipes,3
claiming,1
engrossing,1
themselves,50
censuring,1
wis,3
dom,4
antiquity,6
scoffing,1
modelling,1
sermoami,1
magistexe2x80x99rialness,1
haughtiness,1
airs,3
peremptoriness,1
sorts,12
magisterialnes,1
matters,15
opinion,26
positiveness,1
fact,3
impose,3
mens,23
understand,12
ings,2
faith,18
mag1st,1
ery,2
magisterium,1
chemists,7
fignify,2
sometimes,44
precipi,1
tation,2
bismuth,2
resins,1
resinous,3
substances,10
jalap,1
scamony,1
genuine,2
acceptation,3
express,15
preparation,5
addition,4
somewhat,17
changed,11
quite,10
another,92
copper,6
turned,9
crystals,1
mars,11
ve,2
inus,1
2aincy,1
paracelsus,1
extracteth,1
magislery,1
wine,21
exposing,2
cold,18
aqueous,1
freeze,2
spirit,29
uncongealed,1
centre,10
brown,30
vegetables,2
solu,1
ble,4
coloured,5
plants,24
afford,6
boyle,43
magistracy,1
nf,21
magistratus,1
office,18
dignity,18
magistrate,5
share,10
magistracies,1
priesthoods,1
wealth,10
felicity,3
amongst,13
friends,34
johnson,5
intention,14
diffwade,1
foamoana,1
giracy,1
undertaking,3
offices,8
broawn,1
disputed,3
even,45
magistray,2
itself,54
atterbury,14
duelling,1
usurpation,1
divine,29
preroga,1
insult,3
cnt,1
magistrally,2
magistralis,1
authoritatively,1
presumption,4
allow,15
assume,5
license,1
con,40
troul,1
bishop,14
bramhall,4
helles,1
ms,38
pub,2
jickly,1
governour,1
executoar,1
laws,34
clarissa,3
despotically,1
chuse,7
puts,6
popular,7
graver,1
bench,2
frownd,1
greece,4
coriolanus,34
treat,8
legal,1
punishments,5
magisxc5x82rates,1
flict,1
disobedient,1
subjects,12
deoa,1
magnaxe2x80x98lity,1
magnalia,1
above,44
rate,12
xc2xa9,1
greedy,2
magnalities,1
favourable,2
expe,1
riments,1
concerning,14
welcome,3
wakar,1
magnanim,1
ity,2
magnanimita9,1
magnanimu,1
greatness,20
bravery,3
elevation,4
foul,17
deadly,9
hue,5
corse,1
lye,5
dead,31
face,59
read,12
magnanimis,1
qu,20
61divp,1
acts,14
ancient,35
jews,7
indifferently,3
weighed,3
magnanimity,3
causes,20
extreme,10
ed,39
resolutions,2
grown,14
hazard,4
strange,19
unwont,1
circumstances,5
under,66
roof,3
heaven,23
hitherto,2
match,34
hooker,75
enough,26
revengd,1
reducxe2x80x99d,2
foe,8
misery,16
beneath,11
fears,9
remit,1
ioame,1
convenient,4
ransom,2
proposd,1
4oan,2
exploding,1
many,197
trifles,3
false,55
proof,15
wisdom,16
check,3
virtuous,12
aa9tions,1
regard,21
fame,21
swift,94
mnanimous,1
magnanimus,1
elevated,2
sentiment,2
brave,7
kingdom,11
nobler,7
done,38
foar,6
magnanimous,4
roag,5
mortals,4
excelld,1
youthful,4
courage,10
birth,15
foretold,1
exploits,2
milion,1
industry,3
resolved,10
assiduity,1
care,44
answerable,3
weighty,7
cosmol,8
mjoaiously,1
bravely,5
complete,4
generous,2
education,21
fits,5
perform,9
justly,7
skilfully,1
magnanimously,1
peace,33
mgnet,1
magnes,1
lodestone,1
stone,48
attracts,1
oan,11
allure,2
bliss,6
magnets,1
heay,1
larger,5
loadstone,4
nearer,4
reasonable,6
ask,9
magnet,7
essential,7
zocke,1
aff,2
blackmore,20
review,6
magnetick,4
nineteen,1
timeslighter,1
consequence,11
nine,11
teen,1
rarer,2
gold,33
rare,6
rea,3
dily,2
least,33
transmit,1
natioa,1
effluvia,2
easily,36
admit,4
quicksilver,11
pores,7
through,85
newtons,12
opticks,10
correspondent,2
dense,1
magneticxc5x82,1
nor,114
hot,15
diminution,2
silver,25
glass,18
opt,2
attractive,1
distant,10
magnetical,2
moisture,12
hist,50
reunion,1
bow,7
alone,20
fasten,9
hundred,27
towrds,2
allchearing,1
lamp,6
turn,36
various,25
motions,15
turnd,8
beam,6
loft,37
credulous,3
manliest,1
resolutest,1
magnetic,1
hardest,3
draws,4
magnetism,3
attraction,3
magnetisms,1
attractions,2
brrours,1
interest,11
affections,3
irresistably,1
attracted,3
glanvillexe2x80x99s,1
scep,9
magnifixe2x80x99able,1
magniff,4
extolled,1
praised,1
unusual,4
wonderful,5
sufficiently,3
nifiable,1
demonstrable,2
affection,9
received,18
adjections,1
multiplying,5
conceits,4
magnifical,2
magnificus,1
illustrious,1
grand,9
magnifick,2
builded,1
must,152
ex,21
ceeding,1
glory,18
throughout,2
countries,11
chron,8
xxii,3
5,85
thrones,2
dominations,2
princedoms,2
powrs,4
titles,6
remain,14
merely,12
titular,1
parent,4
magnificamp,1
trophies,3
magnificence,3
magnificentia,1
grandeur,4
ap,12
pearance,2
splendour,3
desert,6
soil,12
wants,8
hidden,5
lustre,3
gems,3
want,45
skill,14
losoa,3
babylon,2
alcairo,1
equalld,1
glories,3
inshrine,1
belus,1
serapis,1
seat,8
magnifico,1
ita,1
magnifices,1
egypt,8
toaoa,5
assioans,1
ixe2x80x99,2
magnificent,6
observe,12
belo,1
cular,2
houses,15
genoa,1
thoa,2
addison,99
italy,31
smoagoasoa,1
